array_type,size,algorithm,kind,time_ms,char_ops
reverse,1600,StringQuickSort,specialized,0.044900,15127
reverse,1600,StringMergeSort,specialized,0.481078,6372
reverse,1600,MsdRadixSort,specialized,0.112052,3611
reverse,1600,MsdRadixQuickSort,specialized,0.090044,8658
reverse,1700,StandardQuickSort,standard,0.072251,24469
reverse,1700,StandardMergeSort,standard,0.406214,15136
reverse,1700,StringQuickSort,specialized,0.048587,16169
reverse,1700,StringMergeSort,specialized,0.494037,6747
reverse,1700,MsdRadixSort,specialized,0.120948,3830
reverse,1700,MsdRadixQuickSort,specialized,0.094740,9199
reverse,1800,StandardQuickSort,standard,0.071968,25700
reverse,1800,StandardMergeSort,standard,0.443578,15879
reverse,1800,StringQuickSort,specialized,0.056575,17375
reverse,1800,StringMergeSort,specialized,0.569245,7022
reverse,1800,MsdRadixSort,specialized,0.140515,4130
reverse,1800,MsdRadixQuickSort,specialized,0.115287,9777
reverse,1900,StandardQuickSort,standard,0.074473,27349
reverse,1900,StandardMergeSort,standard,0.469956,16727
reverse,1900,StringQuickSort,specialized,0.056579,18327
reverse,1900,StringMergeSort,specialized,0.530482,7388
reverse,1900,MsdRadixSort,specialized,0.138012,4310
reverse,1900,MsdRadixQuickSort,specialized,0.103483,10310
reverse,2000,StandardQuickSort,standard,0.084368,28896
reverse,2000,StandardMergeSort,standard,0.476707,17351
reverse,2000,StringQuickSort,specialized,0.058883,19505
reverse,2000,StringMergeSort,specialized,0.566795,7612
reverse,2000,MsdRadixSort,specialized,0.145957,4524
reverse,2000,MsdRadixQuickSort,specialized,0.110335,10852
reverse,2100,StandardQuickSort,standard,0.082306,30489
reverse,2100,StandardMergeSort,standard,0.486676,18393
reverse,2100,StringQuickSort,specialized,0.072085,20651
reverse,2100,StringMergeSort,specialized,0.607745,8028
reverse,2100,MsdRadixSort,specialized,0.156463,4819
reverse,2100,MsdRadixQuickSort,specialized,0.114966,11389
reverse,2200,StandardQuickSort,standard,0.099716,31984
reverse,2200,StandardMergeSort,standard,0.545304,19636
reverse,2200,StringQuickSort,specialized,0.072811,22059
reverse,2200,StringMergeSort,specialized,0.663552,8537
reverse,2200,MsdRadixSort,specialized,0.176853,4977
reverse,2200,MsdRadixQuickSort,specialized,0.128722,11943
reverse,2300,StandardQuickSort,standard,0.100016,33670
reverse,2300,StandardMergeSort,standard,0.593099,20876
reverse,2300,StringQuickSort,specialized,0.069978,22923
reverse,2300,StringMergeSort,specialized,0.686458,9121
reverse,2300,MsdRadixSort,specialized,0.181293,5202
reverse,2300,MsdRadixQuickSort,specialized,0.161282,12501
reverse,2400,StandardQuickSort,standard,0.105521,35132
reverse,2400,StandardMergeSort,standard,0.620514,22109
reverse,2400,StringQuickSort,specialized,0.076311,24087
reverse,2400,StringMergeSort,specialized,0.719006,9614
reverse,2400,MsdRadixSort,specialized,0.181559,5429
reverse,2400,MsdRadixQuickSort,specialized,0.145870,13037
reverse,2500,StandardQuickSort,standard,0.117533,36703
reverse,2500,StandardMergeSort,standard,0.605672,23311
reverse,2500,StringQuickSort,specialized,0.079636,25339
reverse,2500,StringMergeSort,specialized,0.799053,10170
reverse,2500,MsdRadixSort,specialized,0.199099,5653
reverse,2500,MsdRadixQuickSort,specialized,0.157073,13605
reverse,2600,StandardQuickSort,standard,0.117405,38522
reverse,2600,StandardMergeSort,standard,0.658189,24035
reverse,2600,StringQuickSort,specialized,0.081686,26456
reverse,2600,StringMergeSort,specialized,0.837329,10253
reverse,2600,MsdRadixSort,specialized,0.193896,5909
reverse,2600,MsdRadixQuickSort,specialized,0.149971,14142
reverse,2700,StandardQuickSort,standard,0.119700,40509
reverse,2700,StandardMergeSort,standard,0.683350,25324
reverse,2700,StringQuickSort,specialized,0.092710,27461
reverse,2700,StringMergeSort,specialized,0.871390,10882
reverse,2700,MsdRadixSort,specialized,0.212911,6130
reverse,2700,MsdRadixQuickSort,specialized,0.166332,14666
reverse,2800,StandardQuickSort,standard,0.127049,42146
reverse,2800,StandardMergeSort,standard,0.735630,26237
reverse,2800,StringQuickSort,specialized,0.092873,28713
reverse,2800,StringMergeSort,specialized,0.893858,11220
reverse,2800,MsdRadixSort,specialized,0.213518,6334
reverse,2800,MsdRadixQuickSort,specialized,0.165918,15201
reverse,2900,StandardQuickSort,standard,0.150671,43929
reverse,2900,StandardMergeSort,standard,0.824241,27192
reverse,2900,StringQuickSort,specialized,0.099006,29987
reverse,2900,StringMergeSort,specialized,0.889426,11591
reverse,2900,MsdRadixSort,specialized,0.253067,6609
reverse,2900,MsdRadixQuickSort,specialized,0.186734,15737
reverse,3000,StandardQuickSort,standard,0.132922,45346
reverse,3000,StandardMergeSort,standard,0.779999,28130
reverse,3000,StringQuickSort,specialized,0.102394,31078
reverse,3000,StringMergeSort,specialized,0.926997,12005
reverse,3000,MsdRadixSort,specialized,0.226973,6787
reverse,3000,MsdRadixQuickSort,specialized,0.175630,16273
almost,100,StandardQuickSort,standard,0.002570,943
almost,100,StandardMergeSort,standard,0.008559,723
almost,100,StringQuickSort,specialized,0.001915,654
almost,100,StringMergeSort,specialized,0.009919,361
almost,100,MsdRadixSort,specialized,0.004987,221
almost,100,MsdRadixQuickSort,specialized,0.003581,554
almost,200,StandardQuickSort,standard,0.006193,2442
almost,200,StandardMergeSort,standard,0.022580,1544
almost,200,StringQuickSort,specialized,0.004449,1645
almost,200,StringMergeSort,specialized,0.021604,714
almost,200,MsdRadixSort,specialized,0.011252,444
almost,200,MsdRadixQuickSort,specialized,0.009104,1079
almost,300,StandardQuickSort,standard,0.008433,3282
almost,300,StandardMergeSort,standard,0.037149,2554
almost,300,StringQuickSort,specialized,0.006454,2214
almost,300,StringMergeSort,specialized,0.041888,1111
almost,300,MsdRadixSort,specialized,0.017934,670
almost,300,MsdRadixQuickSort,specialized,0.011510,1660
almost,400,StandardQuickSort,standard,0.010970,4577
almost,400,StandardMergeSort,standard,0.054526,3310
almost,400,StringQuickSort,specialized,0.008119,3040
